DEPTH,SWOB,STOR,RPM,SPPA,SMSE,TFLO,ECD,Formation,ROP5
2534.2727,1.3029,12.3922,125,17440.01,54.4163,3560.407,1468.836,Dawson Canyon Formation,14.0109
2534.5835,3.345,14.3446,124,17461.39,24.5723,3566.691,1469.815,Dawson Canyon Formation,12.6568
2534.8523,2.8235,14.5615,123,17517.51,28.4434,3559.499,1469.4,Dawson Canyon Formation,11.3142
2535.2231,3.0786,14.3988,124,17528.06,18.5968,3561.278,1470.015,Dawson Canyon Formation,11.1487
2535.8208,5.0421,17.8697,124,17659.75,13.727,3577.479,1470.926,Dawson Canyon Formation,23.1878
2536.5649,8.3789,20.8932,124,17755.59,9.0388,3580.167,1471.802,Dawson Canyon Formation,35.541
2537.2454,3.4438,16.8121,124,17728.42,10.9318,3584.671,1471.289,Dawson Canyon Formation,41.0318
2537.9678,6.8048,17.9239,124,17768.69,13.1422,3587.359,1471.468,Dawson Canyon Formation,43.2751
2538.8269,8.2162,20.5949,123,17748.07,13.9757,3581.075,1473.018,Dawson Canyon Formation,49.2321
2539.4917,6.2225,19.5238,124,17522.06,11.0761,3561.278,1471.808,Dawson Canyon Formation,46.5197
2540.469,8.8443,22.3439,123,17560.19,11.2444,3550.489,1472.979,Dawson Canyon Formation,47.4258
2541.3936,6.5501,21.4219,124,17499.31,12.9237,3552.306,1473.46,Dawson Canyon Formation,57.2684
2541.9558,3.5399,14.331,83,17552.95,6.1598,3551.398,1469.82,Dawson Canyon Formation,52.9551
2542.2668,5.5708,15.3343,61,14862.96,5.6863,3078.6,1463.435,Dawson Canyon Formation,37.2744
2542.7693,4.6424,21.4626,120,15058.63,14.1699,3136.138,1470.678,Dawson Canyon Formation,63.8064
2542.9231,0.9543,14.3717,120,15927.99,6.7062,3297.018,1468.889,Dawson Canyon Formation,14.0855
2543.2419,2.2524,14.9818,119,16641.32,36.957,3457.936,1468.813,Dawson Canyon Formation,20.1842
2543.5461,1.7567,14.575,121,16624.71,23.9818,3449.835,1469.091,Dawson Canyon Formation,20.799
2544.2158,4.0638,16.6088,120,16626.57,11.7434,3458.807,1469.283,Dawson Canyon Formation,22.3457
2544.894,4.7557,16.8528,119,16601.68,13.0437,3454.34,1468.421,Dawson Canyon Formation,35.5486
2545.281,2.9454,16.8528,120,17013.02,19.724,3507.374,1469.731,Dawson Canyon Formation,34.9797
2554.3044,2.1024,21.91,120,17296.05,11.6298,3530.729,1464.787,Dawson Canyon Formation,53.8197
2558.24,7.3639,20.0797,120,17324.11,13.6394,3524.446,1467,Dawson Canyon Formation,46.9728
2558.895,6.546,19.7,120,17279.85,13.6928,3539.701,1467.194,Dawson Canyon Formation,44.7113
2559.6851,7.5351,20.161,122,17305.84,13.1041,3528.042,1467.006,Dawson Canyon Formation,43.3107
2560.4924,7.1259,18.0866,121,17310.18,11.3187,3527.133,1467.164,Dawson Canyon Formation,48.1164
2561.0913,4.4236,17.6799,120,17272.75,14.7836,3536.105,1467.021,Dawson Canyon Formation,42.9192
2561.6809,4.6724,16.9342,121,17272.2,11.4155,3531.638,1467.58,Dawson Canyon Formation,37.8349
2562.3804,3.6918,18.9137,121,17317.98,11.5807,3527.133,1469.16,Dawson Canyon Formation,37.3881
2562.7729,3.8681,15.1445,121,17306.74,20.9601,3536.105,1468.368,Dawson Canyon Formation,34.8514
2563.5496,5.6579,17.8968,121,17313.63,12.6991,3527.133,1469.581,Dawson Canyon Formation,36.283
2564.7776,11.7776,23.7539,120,17374.58,5.5203,3527.133,1471.733,Dawson Canyon Formation,69.983
2565.7471,11.5174,20.7711,120,17382.86,8.3064,3539.701,1471.152,Dawson Canyon Formation,67.7077
2566.3572,6.4294,16.9071,121,17348.86,16.2982,3531.638,1470.657,Dawson Canyon Formation,51.2926
2567.1045,6.9168,17.0562,119,17381.27,14.7676,3527.133,1470.827,Dawson Canyon Formation,43.0643
2567.5349,5.6395,15.9851,121,17359.55,17.8266,3526.225,1472.121,Dawson Canyon Formation,34.7405
2568.2549,6.916,20.6762,120,17400.85,12.5553,3533.417,1472.298,Dawson Canyon Formation,34.963
2568.8535,7.4396,18.1137,120,17391.82,10.0228,3528.042,1472.853,Dawson Canyon Formation,37.4614
2569.7021,10.0314,19.7407,121,17418.09,7.747,3540.609,1473.697,Dawson Canyon Formation,44.1625
2570.2605,5.0649,15.7411,121,17441.46,12.9671,3550.489,1473.912,Dawson Canyon Formation,44.2248
2570.8916,5.7695,16.1614,123,17713.32,19.5837,3570.287,1474.807,Dawson Canyon Formation,33.3725
2571.3413,5.4317,15.1309,123,17647.82,16.9117,3566.691,1475.049,Dawson Canyon Formation,26.9423
2571.9644,6.5439,16.2563,123,17702.7,12.9734,3566.691,1475.946,Dawson Canyon Formation,28.8089
2572.5217,5.5647,17.2867,123,17724.35,13.7108,3551.398,1475.114,Dawson Canyon Formation,35.31
2573.0215,7.6456,16.3783,122,17708.84,15.0052,3556.811,1474.296,Dawson Canyon Formation,32.954
2573.6746,7.7134,17.5036,122,17674.37,13.5399,3545.114,1475.535,Dawson Canyon Formation,33.6858
2574.3491,6.1885,14.9411,122,17647.96,11.4705,3554.085,1475.373,Dawson Canyon Formation,39.9222
2575.1379,7.1492,16.2969,121,17672.02,10.514,3554.994,1475.881,Dawson Canyon Formation,43.8737
2575.9878,8.5801,17.7477,123,17669.19,10.1291,3553.215,1476.723,Dawson Canyon Formation,48.8571
2576.8665,9.0999,18.1951,121,17714.63,10.534,3556.811,1476.86,Dawson Canyon Formation,52.2861
2577.5388,9.6643,20.3779,123,17700.57,15.1168,3539.701,1476.698,Dawson Canyon Formation,46.4448
2578.3052,8.5176,18.4662,122,17762.07,10.8858,3554.085,1477.211,Dawson Canyon Formation,43.4699
2579.3391,8.7678,18.6561,123,17739.52,8.8174,3557.682,1477.659,Dawson Canyon Formation,58.0252
2580.3147,9.2213,19.2391,122,17758.76,10.8056,3558.59,1477.772,Dawson Canyon Formation,60.6641
2581.1824,8.5582,19.5238,123,17759.93,11.5989,3559.499,1477.214,Dawson Canyon Formation,54.5741
2582.0239,8.2646,18.1137,122,17744.9,11.1606,3565.782,1477.359,Dawson Canyon Formation,51.595
2582.8025,9.8189,21.8016,121,17728.01,14.5778,3562.186,1477.52,Dawson Canyon Formation,48.4101
2583.564,8.415,18.9815,124,17712.7,12.762,3558.59,1477.336,Dawson Canyon Formation,46.622
2584.467,9.3199,18.7781,123,17706.36,10.1032,3557.682,1477.467,Dawson Canyon Formation,49.8827
2585.2952,7.9123,17.3002,124,17718.97,10.5493,3560.407,1477.615,Dawson Canyon Formation,52.6217
2586.0986,8.1927,17.6528,121,17714.91,10.6344,3561.278,1477.769,Dawson Canyon Formation,48.9628
2586.9272,8.5051,16.9884,122,17769.51,10.3179,3563.095,1476.177,Dawson Canyon Formation,49.7259
2587.7412,9.2291,19.7678,122,17689.26,12.379,3549.619,1478.068,Dawson Canyon Formation,49.4628
2588.5776,8.9948,16.8935,124,17698.15,10.4648,3549.619,1477.518,Dawson Canyon Formation,49.5545
2589.4636,9.2223,17.8019,123,17692.5,10.6554,3547.802,1478.696,Dawson Canyon Formation,52.0819
2590.344,8.8621,18.7781,123,17711.32,11.5105,3559.499,1478.831,Dawson Canyon Formation,52.9894
2591.1682,9.6293,19.2526,123,17667.88,12.0342,3553.215,1478.283,Dawson Canyon Formation,50.4889
2591.95,8.5136,17.6934,122,17665.06,11.3567,3560.407,1477.746,Dawson Canyon Formation,48.6652
2592.8313,9.5684,18.7781,123,17647.06,10.9046,3549.619,1478.924,Dawson Canyon Formation,49.4055
2593.6538,9.2866,18.6425,123,17618.52,11.9059,3554.994,1478.029,Dawson Canyon Formation,51.2198
2594.4231,8.5567,17.7612,124,17619,12.5763,3564.003,1479.581,Dawson Canyon Formation,47.6375
2595.2341,9.5346,17.6934,122,17594.53,11.1553,3558.59,1478.689,Dawson Canyon Formation,47.4122
2596.0156,7.3291,17.6528,124,17602.59,12.7756,3546.893,1477.805,Dawson Canyon Formation,48.3955
2596.7847,8.9465,18.4662,123,17604.31,11.8434,3558.59,1478.313,Dawson Canyon Formation,46.95
