~Ascii          DEPT                CHRP                CHRS                DTCO                DTRP                DTSM                DTRS              GR_ARC                ROP5
          2465.39240             0.80916             0.95362           321.96091           321.96091           632.48138           632.48138           104.16656            13.75978
          2465.54480             0.80267             0.95066           322.84222           322.84222           633.52191           633.52191           103.74917            11.65522
          2465.69720             0.79351             0.95171           323.24667           323.24667           634.26733           634.26733           108.87331            12.05523
          2465.84960             0.79384             0.94726           323.45587           323.45587           635.16461           635.16461           112.56798            12.37931
          2466.00200             0.79031             0.95136           323.43484           323.43484           636.89691           636.89691           109.95893            12.59005
          2466.15440             0.78212             0.94850           323.57770           323.57770           639.23761           639.23761           108.35835            12.88544
          2466.30680             0.78286             0.93913           323.93805           323.93805           641.00055           641.00055           108.56456            12.90781
          2466.45920             0.76883             0.93551           323.75424           323.75424           641.80023           641.80023           107.50510            14.47275
          2466.61160             0.79176             0.93841           323.52530           323.52530           641.06158           641.06158           106.37957            24.03517
          2466.76400             0.80441             0.93834           323.11548           323.11548           639.42987           639.42987           104.80347            24.20396
          2466.91640             0.79366             0.93965           322.60318           322.60318           638.08191           638.08191           105.13058            25.43010
          2467.06880             0.79411             0.94188           322.25262           322.25262           637.71619           637.71619           109.97557            38.54581
          2467.22120             0.80248             0.94183           321.28964           321.28964           638.15002           638.15002           116.04584            37.39482
          2467.37360             0.81158             0.94075           320.11066           320.11066           638.55902           638.55902           116.20944            37.48678
          2467.52600             0.80761             0.93867           318.17825           318.17825           638.31476           638.31476           109.55154            38.30491
          2467.67840             0.79149             0.93382           316.52530           316.52530           638.12140           638.12140           103.86992            40.44003
          2467.83080             0.77519             0.93153           316.39542           316.39542           637.79346           637.79346           102.09643            43.97987
          2467.98320             0.77366             0.93333           317.80551           317.80551           637.62823           637.62823           102.85702            42.03588
          2468.13560             0.78531             0.93276           319.87991           319.87991           637.20093           637.20093           107.95250            41.93619
          2468.28800             0.80090             0.93405           321.73727           321.73727           637.34998           637.34998           114.49905            41.66806
          2468.44040             0.80739             0.93313           322.03775           322.03775           638.44183           638.44183           115.98542            41.92474
          2468.59280             0.81870             0.93521           321.97507           321.97507           639.13623           639.13623           112.81779            41.78104
          2468.74520             0.83102             0.94063           322.27435           322.27435           639.32898           639.32898           108.30479            42.02153
          2468.89760             0.83586             0.93769           322.43719           322.43719           638.31030           638.31030           104.54340            41.65696
          2469.05000             0.81254             0.93844           322.57367           322.57367           638.05634           638.05634           106.29747            39.29176
          2469.20240             0.79670             0.93728           322.35199           322.35199           638.00800           638.00800           113.10257            38.65079
          2469.35480             0.81247             0.93796           322.72812           322.72812           638.03076           638.03076           115.61002            37.38600
          2469.50720             0.82026             0.93938           323.39886           323.39886           637.78143           637.78143           108.17300            37.73870
